epoch;loss;train_auc_scores;train_ave_auc_macro;train_ave_auc_micro;train_ave_auc_weighted;val_auc_scores;val_ave_auc_macro;val_ave_auc_micro;val_ave_auc_weighted;val_loss
10;0.2889173434003732;"""[0.8614703374578245, 0.9429941759194588, 0.8288341583626097, 0.7758908186091462, 0.8431611084894368, 0.7802324348140641, 0.786015968234389, 0.7970656788934303, 0.8272246274068381, 0.8488397648691185, 0.9174233009712303, 0.8409210225323132, 0.7962372790787341, 0.779816344857937, 0.8124976000101103, 0.8062195146963238, 0.8368775427248568, 0.8131546948033023, 0.758423997615992, 0.8219487923568269, 0.7703493315218326, 0.8548501066417276, 0.9307678936251788, 0.870353561014362, 0.9205669509281417]""";0.8328854802574074;0.8668339008543742;0.8263791785268702;"""[0.799572236516299, 0.9219570926644811, 0.7574907176237117, 0.6689222607230223, 0.7657267696196204, 0.6953893289690765, 0.7126221043561654, 0.69860562968178, 0.7377479250993424, 0.7771408050192422, 0.8715410657516418, 0.7721106282385745, 0.7130721505885529, 0.6624643187269166, 0.7465961318331391, 0.7413839995659676, 0.7686540019256928, 0.7323169818329978, 0.6896320206928486, 0.7426758786538061, 0.7002033720873174, 0.8059973452292869, 0.8917048973269122, 0.8247972899895235, 0.875609258457456]""";0.762957368446935;0.8153188323413725;0.7503092524879554;0.3508083774500487
11;0.28797965822353555;"""[0.8633141455215417, 0.9447462733909581, 0.8323976695853347, 0.7777104085643792, 0.8463493030128579, 0.7827568312513302, 0.7879682392981986, 0.7953420810470238, 0.830300012864465, 0.8514769599906773, 0.9183778788989392, 0.8438415805985309, 0.7966130943235168, 0.7806109344533749, 0.8148859222407142, 0.8085033283103049, 0.8394835091902132, 0.8156029148930609, 0.7580215543265303, 0.8235501815047922, 0.7736650325005142, 0.8567044450766093, 0.9325458337154107, 0.8730538533684172, 0.9214566339061993]""";0.8347711448733558;0.8688634756956081;0.828314683181683;"""[0.8058303778008814, 0.9178537381389734, 0.7542031717543898, 0.6718385584170082, 0.7641193754323297, 0.6997169677299501, 0.7150701275003852, 0.7085797431144988, 0.7394530028448164, 0.7798704341585034, 0.8776396271130716, 0.7751072896296637, 0.7122294884413868, 0.6662867708375385, 0.7528069378636486, 0.7473780321671686, 0.7621949672417019, 0.7282286573674623, 0.694521291599917, 0.7351959277886458, 0.7022571388807755, 0.808910438337602, 0.8905553614632886, 0.8249979341525894, 0.8776391598655345]""";0.7644993807856693;0.8165472723926228;0.7527300287558125;0.3497359864033666
12;0.28697649344413034;"""[0.8633894356832358, 0.9441716154476181, 0.8343026593971847, 0.7784593976720025, 0.8503520451835984, 0.7849287124612614, 0.7887902097004826, 0.8017507503938883, 0.8303701406035622, 0.8529529924455983, 0.9194691153595262, 0.8460092710562862, 0.7990347998178144, 0.7804044022960162, 0.8158242126620853, 0.81278776305467, 0.8431483013229195, 0.8189898752479999, 0.7630860868193018, 0.8273291680035622, 0.7733559601886942, 0.8583363987237335, 0.9317887832155122, 0.8726092274194976, 0.9237585771062065]""";0.8366159960512902;0.8700962321548266;0.8296204508179673;"""[0.7995619627143814, 0.9200359427240786, 0.7605646984065068, 0.6698105667743102, 0.7591725423242842, 0.6901699361112582, 0.7143905109266454, 0.7078849293475201, 0.7430481885759406, 0.7732890980949986, 0.8634575044334502, 0.7826230999345244, 0.7127679911287357, 0.6624181169911443, 0.7501941236911938, 0.7413728341209258, 0.7553480041388143, 0.7369860943805019, 0.6848030742142568, 0.7426803498243861, 0.6943732923497269, 0.8093671820409194, 0.8908361587473179, 0.8259330428482101, 0.87517351909341]""";0.7626505105574976;0.8154710818093542;0.7506528239650699;0.3490717642592815
13;0.2858071472390303;"""[0.8669945847376903, 0.9446119980196803, 0.8384641274667625, 0.780060571031375, 0.852848595087115, 0.7854785636347122, 0.7916238565090185, 0.8023645955147173, 0.8328897981533094, 0.8563210919721829, 0.9234138184079436, 0.84912882698697, 0.7991721773109651, 0.7833928608152017, 0.817235201572224, 0.8168352157099494, 0.8462920018360651, 0.8233407966210928, 0.7668685395946953, 0.8319428016552668, 0.777185373295669, 0.8610991225649383, 0.9343469228357837, 0.8792266098473793, 0.923542626487394]""";0.8393872271067241;0.8724816901388843;0.8322519002502665;"""[0.8012272724126089, 0.9175055345283153, 0.7630384044982181, 0.6654400225365992, 0.7580889451763487, 0.7007853018918737, 0.7135340731667409, 0.7042243947688287, 0.738311264623752, 0.7775873438680622, 0.8715416161266101, 0.7791915881336536, 0.7171017121781003, 0.6609466076910653, 0.7527376623851652, 0.7493023341511154, 0.7576915725040944, 0.7332801456014162, 0.6940832829263635, 0.7354897921950228, 0.6972881174384721, 0.8072399647922845, 0.8931833832576099, 0.8278494879442506, 0.872933357853907]""";0.763584127306019;0.8165319940196532;0.7513440554429094;0.34950474736324155
14;0.28534955801664624;"""[0.8685064948553392, 0.9476088211374053, 0.8422756915001011, 0.7839980086543881, 0.8549393173158475, 0.792465556569461, 0.7906643653058494, 0.802559699059536, 0.8346312862804364, 0.8572520642964897, 0.9236771169530391, 0.849933561957356, 0.8016318764513768, 0.7872016187187121, 0.8200127701115918, 0.819638875935066, 0.8490038701718202, 0.8267000672125441, 0.7672883942004836, 0.8349480314882924, 0.7752066533127489, 0.8603841452627445, 0.935359987893605, 0.8787078589412587, 0.9273756704907093]""";0.841278872163048;0.8740442956472765;0.8342560064017341;"""[0.8052176886665108, 0.9188687963014144, 0.7602688968314739, 0.6738783523523756, 0.7661654437479094, 0.7009421022219147, 0.7103918187663237, 0.7106712482815176, 0.7417720926051823, 0.7836390232718939, 0.871461857366875, 0.7824419068529577, 0.7126808277137839, 0.662557041811648, 0.7536129743320389, 0.7505692347033499, 0.7594251396490129, 0.7392326658517879, 0.6875596602385671, 0.7347230818396218, 0.6951930004103093, 0.8070336218911086, 0.889570354000829, 0.8292898134028659, 0.8722349426597616]""";0.7647760634308414;0.817176509089741;0.7532538498541934;0.34842924349181903
15;0.28430604955542427;"""[0.8690995573959407, 0.9486705397206978, 0.8452750866321207, 0.7837747080108879, 0.8576957338165038, 0.7946707265379942, 0.7915058492767679, 0.8057399264092846, 0.8403797086795298, 0.8589517596761189, 0.9243161684707071, 0.8533220412903322, 0.803233164746052, 0.7883514549698236, 0.8199823560447443, 0.819147878840719, 0.8522325207192634, 0.8283547606789081, 0.7694089340198322, 0.8329530108377914, 0.7797338576308893, 0.8642844968343606, 0.9370521959700981, 0.8796409206943636, 0.9294908847107268]""";0.8430907297045784;0.8747793327558379;0.8360413721039026;"""[0.8047887513959572, 0.9194483392484558, 0.7625645678445917, 0.679331142721259, 0.765199164157837, 0.6910570327881826, 0.7156223498384781, 0.7168504214777256, 0.7438703567960643, 0.7792576043993813, 0.8710084033613446, 0.7831930952961412, 0.7179883401047152, 0.6637116077446166, 0.7518511234962671, 0.7514745474543227, 0.7588434235505683, 0.7365745975629538, 0.6872513851115807, 0.7388482310306416, 0.6963312755185759, 0.8070672090989951, 0.8921126727942881, 0.8274938889765802, 0.8739804064119285]""";0.765428797527258;0.8175834732471027;0.7537103280750349;0.3480198389880232
16;0.2834169162289425;"""[0.8698918170925212, 0.9489658269861259, 0.8452165009302458, 0.7878409635821051, 0.8581114698299209, 0.796447330609575, 0.7951485927744912, 0.8098819121544172, 0.8402088662171803, 0.860312592848189, 0.9213245387634184, 0.853998739580797, 0.8044210750903709, 0.7913565830050698, 0.8207613947178777, 0.8177863914067275, 0.8524438545901232, 0.8295933085787941, 0.7720517187206332, 0.8366672044605148, 0.7791695074443814, 0.8635113697920902, 0.938041409290067, 0.8818585150520989, 0.9285683417307644]""";0.8441431930099399;0.8761436738992402;0.837394180710811;"""[0.8002020765019775, 0.9193101870554014, 0.7572842269456568, 0.6776695869745966, 0.7661093102943581, 0.7012594363473463, 0.716866695072346, 0.7108550349574032, 0.7378823179453199, 0.780724318423506, 0.8688935218306487, 0.7859993072506142, 0.7167175548483101, 0.6614341244829784, 0.7531748366613957, 0.7476922802256659, 0.7581931874166389, 0.7280443178278396, 0.6825726005244327, 0.7251352326000722, 0.6945832181427413, 0.8086665756675663, 0.8891450137388117, 0.8273489127356809, 0.8729029277162907]""";0.7635466720875038;0.8168434484295738;0.7526572307506716;0.34995512068599083
17;0.2828096531079187;"""[0.8719627305934954, 0.9506887293924846, 0.8458310588958118, 0.7867200922504358, 0.864063473256766, 0.8003988956908514, 0.7958734733396274, 0.8081430315259712, 0.8393059174697678, 0.8621885805412082, 0.9278370340123331, 0.8557840330369938, 0.8045484676680842, 0.7910465417569267, 0.8219174157900249, 0.8214706320082729, 0.8577558293200119, 0.8299343881961364, 0.7752071987032798, 0.8397026559843987, 0.7809367967464014, 0.8634996241476762, 0.9378768840035134, 0.8835167391942319, 0.9295227828796251]""";0.8458293202561733;0.8775183940582961;0.8385558342472627;"""[0.8044673522452865, 0.9231755361285576, 0.7559874510794755, 0.6706374666731796, 0.7638201229470404, 0.6963751467333741, 0.7179417451981562, 0.7103692716756124, 0.7375356459241639, 0.7781111054297126, 0.8718101650157504, 0.7788660968104651, 0.7156968145722699, 0.6563908158266456, 0.753605228494009, 0.744989569692456, 0.7614397094649656, 0.7336639907772862, 0.6893532411840181, 0.7247653049951264, 0.6922150445930374, 0.8070186721137433, 0.8926974065973308, 0.8240979638888856, 0.8757748892913869]""";0.7632322302940774;0.8166330904719402;0.7513917111505688;0.35045282520953724
18;0.28202120184997664;"""[0.872484999359893, 0.9518145067162704, 0.8543769028871391, 0.7909835025219945, 0.8665534905957148, 0.8030568575875903, 0.7953285604019189, 0.8134169856439162, 0.8444689657968841, 0.8664687462786435, 0.9275870130323917, 0.8614227090568083, 0.8083966829768745, 0.795342650271283, 0.8239076200167322, 0.8218012951031112, 0.8596613355607439, 0.8320628184556282, 0.7768765541571321, 0.8417600881554486, 0.7837862475702209, 0.8665908301628515, 0.9387778547219252, 0.8852786868927733, 0.9291113729945564]""";0.8484526910767377;0.8791893541948193;0.8415632221219053;"""[0.8031685078982213, 0.9174261622213057, 0.7663769560917162, 0.6724849567891793, 0.7688139981978382, 0.6940691855126082, 0.719205527716166, 0.7139011511166291, 0.7447109556878586, 0.7811129113371001, 0.8716659183272719, 0.7854849870338155, 0.7139440965517442, 0.6627155913639315, 0.7501715909429536, 0.7483244659675645, 0.764514305117221, 0.735554802481577, 0.6847323878496564, 0.7426626782849959, 0.6996208352751216, 0.8040059583683745, 0.8919716989370624, 0.8253521154594843, 0.8731791346634711]""";0.7654068351677147;0.8180687865086504;0.75334359271916;0.3491798445028069
19;0.28131142431815287;"""[0.8706949728280129, 0.951299191991728, 0.8509797770034948, 0.7906113732013493, 0.8676540023653249, 0.8022600979075234, 0.7941199675480166, 0.8168756610503629, 0.8456470380929109, 0.8643015795737307, 0.929247721283526, 0.8613148741291122, 0.805721438210846, 0.793954632788098, 0.82273022588578, 0.8264637859969425, 0.8614426543882702, 0.8328777275238226, 0.7744998474446987, 0.8396279107421016, 0.7857893196001108, 0.8671390571824087, 0.939060695633078, 0.8824270837840394, 0.9289661521668742]""";0.8482282715328866;0.8781710255468356;0.8409465364599275;"""[0.8042303336569455, 0.920820258703814, 0.7579618456302871, 0.6744382163961746, 0.7603093307604444, 0.685458919410852, 0.709837457522596, 0.7081389572517984, 0.7425828040518822, 0.7777778156238632, 0.8737487799083464, 0.7859318926699279, 0.7091209770819217, 0.6633981456245694, 0.7530803219196657, 0.7485418494023344, 0.7605653330918757, 0.7404468472308259, 0.6869819870789756, 0.7364711089066314, 0.6909779741453742, 0.806573726407111, 0.8894732766191632, 0.8249671949106914, 0.8689952316804583]""";0.7632332234274611;0.8162081725790633;0.7515815137207286;0.35013438366427185
